"rxn"	"query"	"formula"	"description"	"ko"	"pathway"	"pathway_name0"
"rn:R03989"	"YBR026C"	" Tetradecanoyl-CoA + NADP+ <=> trans-Tetradec-2-enoyl-CoA + NADPH + H+"	"trans-Tetradec-2-enoyl-CoA reductase"	"K07512"	"path:map00062;path:map01100;path:map01212"	"sce00062  Fatty acid elongation;sce01100  Metabolic pathways;sce01212  Fatty acid metabolism"
"rn:R04753"	"YBR026C"	" Decanoyl-CoA + NADP+ <=> trans-Dec-2-enoyl-CoA + NADPH + H+"	"trans-Dec-2-enoyl-CoA reductase"	"K07512"	"path:map00062;path:map01100;path:map01212"	"sce00062  Fatty acid elongation;sce01100  Metabolic pathways;sce01212  Fatty acid metabolism"
"rn:R06985"	"YBR026C"	" trans-Hex-2-enoyl-CoA + NADPH + H+ <=> Hexanoyl-CoA + NADP+"	"trans-Hex-2-enoyl-CoA reductase"	"K07512"	"path:map00062;path:map01100;path:map01212"	"sce00062  Fatty acid elongation;sce01100  Metabolic pathways;sce01212  Fatty acid metabolism"
"rn:R07162"	"YBR026C"	" Acyl-CoA + NADP+ <=> trans-2,3-Dehydroacyl-CoA + NADPH + H+"	"acyl-CoA:NADP+ trans-2-oxidoreductase"	"K07512"	"path:map00062;path:map01100;path:map01212"	"sce00062  Fatty acid elongation;sce01100  Metabolic pathways;sce01212  Fatty acid metabolism"
"rn:R01799"	"YBR029C"	" CTP + Phosphatidate <=> Diphosphate + CDP-diacylglycerol"	"CTP:phosphatidate cytidyltransferase"	"K00981"	"path:map00564;path:map01100;path:map01110;path:map04070"	"sce00564  Glycerophospholipid metabolism;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce04070  Phosphatidylinositol signaling system"
"rn:R11216"	"YBR034C;YBR133C"	" S-Adenosyl-L-methionine + Protein-L-arginine <=> S-Adenosyl-L-homocysteine + Protein N(omega)-methyl-L-arginine"	"S-adenosyl-L-methionine:[protein]-L-arginine N-methyltransferase"	"K11434"	"path:map04068;path:map04922"	"sce04068  FoxO signaling pathway;sce04922  Glucagon signaling pathway"
"rn:R11217"	"YBR034C"	" S-Adenosyl-L-methionine + Protein N(omega)-methyl-L-arginine <=> S-Adenosyl-L-homocysteine + Protein N(omega),N(omega)-dimethyl-L-arginine"	"S-adenosyl-L-methionine:[protein]-N(omega)-methyl-L-arginine N-methyltransferase ([protein]-N(omega),N(omega)-dimethyl-L-arginine-forming)"	"K11434"	"path:map04068;path:map04922"	"sce04068  FoxO signaling pathway;sce04922  Glucagon signaling pathway"
"rn:R11219"	"YBR034C"	" 2 S-Adenosyl-L-methionine + Protein-L-arginine <=> 2 S-Adenosyl-L-homocysteine + Protein N(omega),N(omega)-dimethyl-L-arginine"	"S-adenosyl-L-methionine:[protein]-L-arginine N-methyltransferase ([protein]-N(omega),N(omega)-dimethyl-L-arginine-forming)"	"K11434"	"path:map04068;path:map04922"	"sce04068  FoxO signaling pathway;sce04922  Glucagon signaling pathway"
"rn:R00277"	"YBR035C;YGR017W"	" Pyridoxamine phosphate + H2O + Oxygen <=> Pyridoxal phosphate + Ammonia + Hydrogen peroxide"	"Pyridoxamine-5'-phosphate:oxygen oxidoreductase (deaminating)"	"K00275"	"path:map00750;path:map01100;path:map01120"	"sce00750  Vitamin B6 metabolism;sce01100  Metabolic pathways;sce01120  Microbial metabolism in diverse environments"
"rn:R00278"	"YBR035C;YGR017W"	" Pyridoxine phosphate + Oxygen <=> Hydrogen peroxide + Pyridoxal phosphate"	"Pyridoxine 5-phosphate:oxygen oxidoreductase"	"K00275"	"path:map00750;path:map01100;path:map01120"	"sce00750  Vitamin B6 metabolism;sce01100  Metabolic pathways;sce01120  Microbial metabolism in diverse environments"
"rn:R01710"	"YBR035C;YGR017W"	" Pyridoxamine + H2O + Oxygen <=> Pyridoxal + Ammonia + Hydrogen peroxide"	"Pyridoxamine:oxygen oxidoreductase (deaminating)"	"K00275"	"path:map00750;path:map01100;path:map01120"	"sce00750  Vitamin B6 metabolism;sce01100  Metabolic pathways;sce01120  Microbial metabolism in diverse environments"
"rn:R01711"	"YBR035C;YGR017W"	" Pyridoxine + Oxygen <=> Pyridoxal + Hydrogen peroxide"	"pyridoxine:oxygen oxidoreductase (deaminating)"	"K00275"	"path:map00750;path:map01100;path:map01120"	"sce00750  Vitamin B6 metabolism;sce01100  Metabolic pathways;sce01120  Microbial metabolism in diverse environments"
"rn:R05970"	"YBR070C;YGL047W"	"UDP-N-acetyl-D-glucosamine + N-Acetyl-D-glucosaminyldiphosphodolichol <=> UDP + N,N'-Chitobiosyldiphosphodolichol"	"NONE"	"K07441"	"path:map00510;path:map00513;path:map01100"	"sce00510  N-Glycan biosynthesis;sce00513  Various types of N-glycan biosynthesis;sce01100  Metabolic pathways"
"rn:R00943"	"YBR084W;YGR204W"	" Tetrahydrofolate + Formate + ATP <=> ADP + Orthophosphate + 10-Formyltetrahydrofolate"	"Formate:tetrahydrofolate ligase (ADP-forming)"	"K00288"	"path:map00670;path:map01100"	"sce00670  One carbon pool by folate;sce01100  Metabolic pathways"
"rn:R01220"	"YBR084W;YGR204W"	" 5,10-Methylenetetrahydrofolate + NADP+ <=> 5,10-Methenyltetrahydrofolate + NADPH"	"5,10-methylenetetrahydrofolate:NADP+ oxidoreductase"	"K00288"	"path:map00670;path:map01100"	"sce00670  One carbon pool by folate;sce01100  Metabolic pathways"
"rn:R01655"	"YBR084W;YGR204W"	" 5,10-Methenyltetrahydrofolate + H2O <=> 10-Formyltetrahydrofolate + H+"	"5,10-Methenyltetrahydrofolate 5-hydrolase (decyclizing)"	"K00288"	"path:map00670;path:map01100"	"sce00670  One carbon pool by folate;sce01100  Metabolic pathways"
"rn:R00548"	"YBR092C;YDL024C;YPR073C;YAR071W;YBR093C;YHR215W"	" FMN + H2O <=> Riboflavin + Orthophosphate"	"riboflavin-5-phosphate phosphohydrolase"	"K01078"	"path:map00730;path:map00740;path:map01100"	"sce00730  Thiamine metabolism;sce00740  Riboflavin metabolism;sce01100  Metabolic pathways"
"rn:R02135"	"YBR092C;YDL024C;YDR481C;YPR073C;YAR071W;YBR093C;YHR215W"	" Thiamin monophosphate + H2O <=> Thiamine + Orthophosphate"	"thiamin monophosphate phosphohydrolase"	"K01078"	"path:map00730;path:map00740;path:map01100"	"sce00730  Thiamine metabolism;sce00740  Riboflavin metabolism;sce01100  Metabolic pathways"
"rn:R05972"	"YBR110W"	"GDP-D-mannose + N,N'-Chitobiosyldiphosphodolichol <=> GDP + G00003"	"NONE"	"K03842"	"path:map00510;path:map00513;path:map01100"	"sce00510  N-Glycan biosynthesis;sce00513  Various types of N-glycan biosynthesis;sce01100  Metabolic pathways"
"rn:R01054"	"YBR111C"	" ADP-ribose + H2O <=> AMP + D-Ribose 5-phosphate"	"ADP-ribose ribophosphohydrolase"	"K01515"	"path:map00230"	"sce00230  Purine metabolism"
"rn:R03098"	"YBR115C"	" L-2-Aminoadipate + ATP <=> L-2-Aminoadipate adenylate + Diphosphate"	"L-2-aminoadipate-6-semialdehyde:NADP+ 6-oxidoreductase; ATP:L-2-aminoadipate 6-O-adenylyltransferase"	"K00143"	"path:map00300;path:map01100;path:map01110;path:map01130;path:map01230"	"sce00300  Lysine biosynthesis;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics;sce01230  Biosynthesis of amino acids"
"rn:R04390"	"YBR115C"	" alpha-Aminoadipoyl-S-acyl enzyme + NADPH + H+ <=> L-2-Aminoadipate 6-semialdehyde + Holo-Lys2 + NADP+"	"L-2-aminoadipate-6-semialdehyde:NADP+ 6-oxidoreductase"	"K00143"	"path:map00300;path:map01100;path:map01110;path:map01130;path:map01230"	"sce00300  Lysine biosynthesis;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics;sce01230  Biosynthesis of amino acids"
"rn:R04863"	"YBR115C"	" L-2-Aminoadipate adenylate + Holo-Lys2 <=> alpha-Aminoadipoyl-S-acyl enzyme + AMP"	"L-2-aminoadipate-6-semialdehyde:NADP+ 6-oxidoreductase"	"K00143"	"path:map00300;path:map01100;path:map01110;path:map01130;path:map01230"	"sce00300  Lysine biosynthesis;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics;sce01230  Biosynthesis of amino acids"
"rn:R11679"	"YBR115C"	" L-2-Aminoadipate 6-semialdehyde + NADP+ + AMP + Diphosphate <=> L-2-Aminoadipate + NADPH + H+ + ATP"	"(S)-2-amino-6-oxohexanoate:NADP+ oxidoreductase (ATP-forming)"	"K00143"	"path:map00300;path:map01100;path:map01110;path:map01130;path:map01230"	"sce00300  Lysine biosynthesis;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics;sce01230  Biosynthesis of amino acids"
"rn:R01067"	"YBR117C;YPR074C"	" D-Fructose 6-phosphate + D-Glyceraldehyde 3-phosphate <=> D-Erythrose 4-phosphate + D-Xylulose 5-phosphate"	"D-Fructose 6-phosphate:D-glyceraldehyde-3-phosphate glycolaldehyde transferase"	"K00615"	"path:map00030;path:map00710;path:map01051;path:map01100;path:map01110;path:map01120;path:map01130;path:map01200;path:map01230"	"sce00030  Pentose phosphate pathway;sce00710  Carbon fixation in photosynthetic organisms;sce01051  Biosynthesis of ansamycins;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism;sce01230  Biosynthesis of amino acids"
"rn:R01641"	"YBR117C;YPR074C"	" Sedoheptulose 7-phosphate + D-Glyceraldehyde 3-phosphate <=> D-Ribose 5-phosphate + D-Xylulose 5-phosphate"	"sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glycolaldehyde transferase"	"K00615"	"path:map00030;path:map00710;path:map01051;path:map01100;path:map01110;path:map01120;path:map01130;path:map01200;path:map01230"	"sce00030  Pentose phosphate pathway;sce00710  Carbon fixation in photosynthetic organisms;sce01051  Biosynthesis of ansamycins;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism;sce01230  Biosynthesis of amino acids"
"rn:R01830"	"YBR117C;YPR074C"	" beta-D-Fructose 6-phosphate + D-Glyceraldehyde 3-phosphate <=> D-Erythrose 4-phosphate + D-Xylulose 5-phosphate"	"beta-D-Fructose 6-phosphate:D-glyceraldehyde-3-phosphate glycolaldehyde transferase"	"K00615"	"path:map00030;path:map00710;path:map01051;path:map01100;path:map01110;path:map01120;path:map01130;path:map01200;path:map01230"	"sce00030  Pentose phosphate pathway;sce00710  Carbon fixation in photosynthetic organisms;sce01051  Biosynthesis of ansamycins;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism;sce01230  Biosynthesis of amino acids"
"rn:R06590"	"YBR117C;YPR074C"	" Aminofructose 6-phosphate + D-Ribose 5-phosphate <=> Iminoerythrose 4-phosphate + Sedoheptulose 7-phosphate"	"sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glycolaldehydetransferase; sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glycolaldehydetransferase"	"K00615"	"path:map00030;path:map00710;path:map01051;path:map01100;path:map01110;path:map01120;path:map01130;path:map01200;path:map01230"	"sce00030  Pentose phosphate pathway;sce00710  Carbon fixation in photosynthetic organisms;sce01051  Biosynthesis of ansamycins;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism;sce01230  Biosynthesis of amino acids"
"rn:R03654"	"YBR121C;YPR081C"	" ATP + Glycine + tRNA(Gly) <=> AMP + Diphosphate + Glycyl-tRNA(Gly)"	"glycine:tRNA(Gly) ligase (AMP-forming)"	"K01880"	"path:map00970"	"sce00970  Aminoacyl-tRNA biosynthesis"
"rn:R02737"	"YBR126C;YDR074W"	" UDP-glucose + alpha-D-Glucose 6-phosphate <=> UDP + alpha,alpha'-Trehalose 6-phosphate"	"UDPglucose:D-glucose-6-phosphate 1-alpha-D-glucosyltransferase"	"K00697"	"path:map00500;path:map01100"	"sce00500  Starch and sucrose metabolism;sce01100  Metabolic pathways"
"rn:R11218"	"YBR133C"	" S-Adenosyl-L-methionine + Protein N(omega)-methyl-L-arginine <=> S-Adenosyl-L-homocysteine + Protein N(omega),N(omega)'-dimethyl-L-arginine"	"S-adenosyl-L-methionine:[protein]-N(omega)-methyl-L-arginine N-methyltransferase ([protein]-N(omega),N(omega)'-dimethyl-L-arginine-forming)"	"K02516"	"path:map03013;path:map04011;path:map04111"	"sce03013  RNA transport;sce04011  MAPK signaling pathway - yeast;sce04111  Cell cycle - yeast"
"rn:R11220"	"YBR133C"	" 2 S-Adenosyl-L-methionine + Protein-L-arginine <=> 2 S-Adenosyl-L-homocysteine + Protein N(omega),N(omega)'-dimethyl-L-arginine"	"S-adenosyl-L-methionine:[protein]-L-arginine N-methyltransferase ([protein]-N(omega),N(omega)'-dimethyl-L-arginine-forming)"	"K02516"	"path:map03013;path:map04011;path:map04111"	"sce03013  RNA transport;sce04011  MAPK signaling pathway - yeast;sce04111  Cell cycle - yeast"
"rn:R00623"	"YBR145W;YDL168W;YGL256W;YMR083W;YMR303C;YOL086C"	" Primary alcohol + NAD+ <=> Aldehyde + NADH + H+"	"primary_alcohol:NAD+ oxidoreductase"	"K13953"	"path:map00010;path:map00071;path:map00350;path:map00625;path:map00626;path:map00830;path:map00980;path:map00982;path:map01100;path:map01110;path:map01120;path:map01130;path:map01220"	"sce00010  Glycolysis / Gluconeogenesis;sce00071  Fatty acid degradation;sce00350  Tyrosine metabolism;sce00625  Chloroalkane and chloroalkene degradation;sce00626  Naphthalene degradation;sce00830  Retinol metabolism;sce00980  Metabolism of xenobiotics by cytochrome P450;sce00982  Drug metabolism - cytochrome P450;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments;sce01130  Biosynthesis of antibiotics;sce01220  Degradation of aromatic compounds"
"rn:R00754"	"YBR145W;YDL168W;YGL256W;YMR083W;YMR303C;YOL086C"	" Ethanol + NAD+ <=> Acetaldehyde + NADH + H+"	"ethanol:NAD+ oxidoreductase"	"K13953"	"path:map00010;path:map00071;path:map00350;path:map00625;path:map00626;path:map00830;path:map00980;path:map00982;path:map01100;path:map01110;path:map01120;path:map01130;path:map01220"	"sce00010  Glycolysis / Gluconeogenesis;sce00071  Fatty acid degradation;sce00350  Tyrosine metabolism;sce00625  Chloroalkane and chloroalkene degradation;sce00626  Naphthalene degradation;sce00830  Retinol metabolism;sce00980  Metabolism of xenobiotics by cytochrome P450;sce00982  Drug metabolism - cytochrome P450;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments;sce01130  Biosynthesis of antibiotics;sce01220  Degradation of aromatic compounds"
"rn:R02124"	"YBR145W;YDL168W;YMR083W;YMR303C;YOL086C"	" Retinol + NAD+ <=> Retinal + NADH + H+"	"retinol:NAD+ oxidoreductase"	"K13953"	"path:map00010;path:map00071;path:map00350;path:map00625;path:map00626;path:map00830;path:map00980;path:map00982;path:map01100;path:map01110;path:map01120;path:map01130;path:map01220"	"sce00010  Glycolysis / Gluconeogenesis;sce00071  Fatty acid degradation;sce00350  Tyrosine metabolism;sce00625  Chloroalkane and chloroalkene degradation;sce00626  Naphthalene degradation;sce00830  Retinol metabolism;sce00980  Metabolism of xenobiotics by cytochrome P450;sce00982  Drug metabolism - cytochrome P450;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments;sce01130  Biosynthesis of antibiotics;sce01220  Degradation of aromatic compounds"
"rn:R04880"	"YBR145W;YDL168W;YGL256W;YMR083W;YMR303C;YOL086C"	" 3,4-Dihydroxyphenylethyleneglycol + NAD+ <=> 3,4-Dihydroxymandelaldehyde + NADH + H+"	"3,4-dihydroxyphenylethyleneglycol:NAD+ oxidoreductase"	"K13953"	"path:map00010;path:map00071;path:map00350;path:map00625;path:map00626;path:map00830;path:map00980;path:map00982;path:map01100;path:map01110;path:map01120;path:map01130;path:map01220"	"sce00010  Glycolysis / Gluconeogenesis;sce00071  Fatty acid degradation;sce00350  Tyrosine metabolism;sce00625  Chloroalkane and chloroalkene degradation;sce00626  Naphthalene degradation;sce00830  Retinol metabolism;sce00980  Metabolism of xenobiotics by cytochrome P450;sce00982  Drug metabolism - cytochrome P450;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments;sce01130  Biosynthesis of antibiotics;sce01220  Degradation of aromatic compounds"
"rn:R05233"	"YBR145W;YDL168W;YGL256W;YMR083W;YMR303C;YOL086C"	" trans-3-Chloro-2-propene-1-ol + NAD+ <=> trans-3-Chloroallyl aldehyde + NADH + H+"	"trans-3-Chloro-2-propene-1-ol:NAD+ oxidoreductase"	"K13953"	"path:map00010;path:map00071;path:map00350;path:map00625;path:map00626;path:map00830;path:map00980;path:map00982;path:map01100;path:map01110;path:map01120;path:map01130;path:map01220"	"sce00010  Glycolysis / Gluconeogenesis;sce00071  Fatty acid degradation;sce00350  Tyrosine metabolism;sce00625  Chloroalkane and chloroalkene degradation;sce00626  Naphthalene degradation;sce00830  Retinol metabolism;sce00980  Metabolism of xenobiotics by cytochrome P450;sce00982  Drug metabolism - cytochrome P450;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments;sce01130  Biosynthesis of antibiotics;sce01220  Degradation of aromatic compounds"
"rn:R05234"	"YBR145W;YDL168W;YGL256W;YMR083W;YMR303C;YOL086C"	" cis-3-Chloro-2-propene-1-ol + NAD+ <=> cis-3-Chloroallyl aldehyde + NADH + H+"	"cis-3-chloro-2-propene-1-ol:NAD+ oxidoreductase"	"K13953"	"path:map00010;path:map00071;path:map00350;path:map00625;path:map00626;path:map00830;path:map00980;path:map00982;path:map01100;path:map01110;path:map01120;path:map01130;path:map01220"	"sce00010  Glycolysis / Gluconeogenesis;sce00071  Fatty acid degradation;sce00350  Tyrosine metabolism;sce00625  Chloroalkane and chloroalkene degradation;sce00626  Naphthalene degradation;sce00830  Retinol metabolism;sce00980  Metabolism of xenobiotics by cytochrome P450;sce00982  Drug metabolism - cytochrome P450;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments;sce01130  Biosynthesis of antibiotics;sce01220  Degradation of aromatic compounds"
"rn:R06917"	"YBR145W;YDL168W;YGL256W;YMR083W;YMR303C;YOL086C"	" 1-Hydroxymethylnaphthalene + NAD+ <=> 1-Naphthaldehyde + NADH + H+"	"1-hydroxymethylnaphthalene:NAD+ oxidoreductase"	"K13953"	"path:map00010;path:map00071;path:map00350;path:map00625;path:map00626;path:map00830;path:map00980;path:map00982;path:map01100;path:map01110;path:map01120;path:map01130;path:map01220"	"sce00010  Glycolysis / Gluconeogenesis;sce00071  Fatty acid degradation;sce00350  Tyrosine metabolism;sce00625  Chloroalkane and chloroalkene degradation;sce00626  Naphthalene degradation;sce00830  Retinol metabolism;sce00980  Metabolism of xenobiotics by cytochrome P450;sce00982  Drug metabolism - cytochrome P450;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments;sce01130  Biosynthesis of antibiotics;sce01220  Degradation of aromatic compounds"
"rn:R06927"	"YBR145W;YDL168W;YGL256W;YMR083W;YMR303C;YOL086C"	" (2-Naphthyl)methanol + NAD+ <=> 2-Naphthaldehyde + NADH + H+"	"(2-naphthyl)methanol:NAD+ oxidoreductase"	"K13953"	"path:map00010;path:map00071;path:map00350;path:map00625;path:map00626;path:map00830;path:map00980;path:map00982;path:map01100;path:map01110;path:map01120;path:map01130;path:map01220"	"sce00010  Glycolysis / Gluconeogenesis;sce00071  Fatty acid degradation;sce00350  Tyrosine metabolism;sce00625  Chloroalkane and chloroalkene degradation;sce00626  Naphthalene degradation;sce00830  Retinol metabolism;sce00980  Metabolism of xenobiotics by cytochrome P450;sce00982  Drug metabolism - cytochrome P450;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments;sce01130  Biosynthesis of antibiotics;sce01220  Degradation of aromatic compounds"
"rn:R07105"	"YBR145W;YDL168W;YMR083W;YMR303C;YOL086C"	" Chloral hydrate + NADH + H+ <=> Trichloroethanol + NAD+ + H2O"	"trichloroethanol:NAD+ oxidoreductase"	"K13953"	"path:map00010;path:map00071;path:map00350;path:map00625;path:map00626;path:map00830;path:map00980;path:map00982;path:map01100;path:map01110;path:map01120;path:map01130;path:map01220"	"sce00010  Glycolysis / Gluconeogenesis;sce00071  Fatty acid degradation;sce00350  Tyrosine metabolism;sce00625  Chloroalkane and chloroalkene degradation;sce00626  Naphthalene degradation;sce00830  Retinol metabolism;sce00980  Metabolism of xenobiotics by cytochrome P450;sce00982  Drug metabolism - cytochrome P450;sce01100  Metabolic pathways;sce01110  Biosynthesis of secondary metabolites;sce01120  Microbial metabolism in diverse environments;sce01130  Biosynthesis of antibiotics;sce01220  Degradation of aromatic compounds"
