mRNA	KO
genemark-NODE_6_length_870134_cov_17.5615_ID_11-processed-gene-2.84-mRNA-1_1&gene=genemark-NODE_6_length_870134_cov_17.5615_ID_11-processed-gene-2.84&CDS=1-1554	K00849_R01092_yHMPu5000035022_candida_emberorum
genemark-NODE_6_length_870134_cov_17.5615_ID_11-processed-gene-2.64-mRNA-1_1&gene=genemark-NODE_6_length_870134_cov_17.5615_ID_11-processed-gene-2.64&CDS=1-1272	K00965_R00955_yHMPu5000035022_candida_emberorum
genemark-NODE_6_length_870134_cov_17.5615_ID_11-processed-gene-2.62-mRNA-1_1&gene=genemark-NODE_6_length_870134_cov_17.5615_ID_11-processed-gene-2.62&CDS=1-2037	K01784_R00291_yHMPu5000035022_candida_emberorum
genemark-NODE_4_length_917787_cov_18.057_ID_7-processed-gene-4.89-mRNA-1_1&gene=genemark-NODE_4_length_917787_cov_18.057_ID_7-processed-gene-4.89&CDS=1-1452	K03781_R00009_yHMPu5000035022_candida_emberorum
genemark-NODE_16_length_412327_cov_20.647_ID_31-processed-gene-1.132-mRNA-1_1&gene=genemark-NODE_16_length_412327_cov_20.647_ID_31-processed-gene-1.132&CDS=1-1140	K00121_R06983_yHMPu5000035022_candida_emberorum
snap_masked-NODE_22_length_175075_cov_17.2294_ID_43-processed-gene-0.91-mRNA-1_1&gene=snap_masked-NODE_22_length_175075_cov_17.2294_ID_43-processed-gene-0.91&CDS=1-861	K01070_R00527_yHMPu5000035022_candida_emberorum
genemark-NODE_19_length_310056_cov_16.1103_ID_37-processed-gene-2.1-mRNA-1_1&gene=genemark-NODE_19_length_310056_cov_16.1103_ID_37-processed-gene-2.1&CDS=1-1134	K00122_R00519_yHMPu5000035022_candida_emberorum
maker-NODE_25_length_78057_cov_16.1977_ID_49-snap-gene-0.109-mRNA-1_1&gene=maker-NODE_25_length_78057_cov_16.1977_ID_49-snap-gene-0.109&CDS=1-3594	YALI0F01650p_MNXR121148_yHMPu5000035022_candida_emberorum
genemark-NODE_3_length_1003618_cov_17.3652_ID_5-processed-gene-8.7-mRNA-1_1&gene=genemark-NODE_3_length_1003618_cov_17.3652_ID_5-processed-gene-8.7&CDS=1-1770	YALI0F01606g_R11461_yHMPu5000035022_candida_emberorum
augustus_masked-chrX-processed-gene-6.96-mRNA-1_1&gene=augustus_masked-chrX-processed-gene-6.96&CDS=1-1086	lad_MNXR117337_saccharomyces_eubayanus
augustus_masked-chrII-processed-gene-2.59-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-2.59&CDS=1-1584	K00849_R01092_saccharomyces_eubayanus
augustus_masked-chrII-processed-gene-2.76-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-2.76&CDS=1-1098	K00965_R00955_saccharomyces_eubayanus
augustus_masked-chrII-processed-gene-2.77-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-2.77&CDS=1-2097	K01784_R00291_saccharomyces_eubayanus
augustus_masked-chrII-processed-gene-7.139-mRNA-1_1&gene=augustus_masked-chrII-processed-gene-7.139&CDS=1-4281	K03781_R00009_saccharomyces_eubayanus
augustus_masked-chrIV-processed-gene-1.14-mRNA-1_1&gene=augustus_masked-chrIV-processed-gene-1.14&CDS=1-1155	K00121_R06983_saccharomyces_eubayanus
augustus_masked-chrX-processed-gene-3.120-mRNA-1_1&gene=augustus_masked-chrX-processed-gene-3.120&CDS=1-6555	K01070_R00527_saccharomyces_eubayanus
augustus_masked-chrXIII-processed-gene-8.112-mRNA-1_1&gene=augustus_masked-chrXIII-processed-gene-8.112&CDS=1-1137	K00122_R00519_saccharomyces_eubayanus
augustus_masked-chrIX-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-chrIX-processed-gene-0.71&CDS=1-1536	inu_MNXR115392_saccharomyces_eubayanus
augustus_masked-chrXIII-processed-gene-1.119-mRNA-1_1&gene=augustus_masked-chrXIII-processed-gene-1.119&CDS=1-5181	YALI0F01606g_R11461_saccharomyces_eubayanus
snap_masked-flattened_line_48-processed-gene-0.115-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.115&CDS=1-1089	lad_MNXR117337_yHMPu5000034883_peterozyma_xylosa
maker-flattened_line_4-augustus-gene-8.69-mRNA-1_1&gene=maker-flattened_line_4-augustus-gene-8.69&CDS=1-3063	K01784_R00291_yHMPu5000034883_peterozyma_xylosa
snap_masked-flattened_line_24-processed-gene-2.89-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-2.89&CDS=1-1512	K03781_R00009_yHMPu5000034883_peterozyma_xylosa
snap_masked-flattened_line_20-processed-gene-0.48-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-0.48&CDS=1-1134	K00121_R06983_yHMPu5000034883_peterozyma_xylosa
snap_masked-flattened_line_30-processed-gene-2.95-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-2.95&CDS=1-855	K01070_R00527_yHMPu5000034883_peterozyma_xylosa
snap_masked-flattened_line_28-processed-gene-1.89-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-1.89&CDS=1-1170	K00122_R00519_yHMPu5000034883_peterozyma_xylosa
snap_masked-flattened_line_44-processed-gene-0.165-mRNA-1_1&gene=snap_masked-flattened_line_44-processed-gene-0.165&CDS=1-966	K18338_R03772_yHMPu5000034883_peterozyma_xylosa
snap_masked-flattened_line_32-processed-gene-2.36-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-2.36&CDS=1-1254	K12661_R03774_yHMPu5000034883_peterozyma_xylosa
maker-flattened_line_6-snap-gene-4.93-mRNA-1_1&gene=maker-flattened_line_6-snap-gene-4.93&CDS=1-1698	YALI0F01650p_MNXR121148_yHMPu5000034883_peterozyma_xylosa
snap_masked-flattened_line_0-processed-gene-2.12-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.12&CDS=1-1758	YALI0F01606g_R11461_yHMPu5000034883_peterozyma_xylosa
snap_masked-flattened_line_4-processed-gene-7.32-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-7.32&CDS=1-1530	K02575_MNXR101912_yHMPu5000034883_peterozyma_xylosa
augustus_masked-LCTY01000006.1-processed-gene-1.13-mRNA-1_1&gene=augustus_masked-LCTY01000006.1-processed-gene-1.13&CDS=1-1074	lad_MNXR117337_brettanomyces_anomalus
augustus_masked-LCTY01000017.1-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-LCTY01000017.1-processed-gene-0.87&CDS=1-1566	K00849_R01092_brettanomyces_anomalus
augustus_masked-LCTY01000017.1-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-LCTY01000017.1-processed-gene-0.104&CDS=1-1107	K00965_R00955_brettanomyces_anomalus
augustus_masked-LCTY01000017.1-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-LCTY01000017.1-processed-gene-0.103&CDS=1-2049	K01784_R00291_brettanomyces_anomalus
augustus_masked-LCTY01000003.1-processed-gene-8.110-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-8.110&CDS=1-1515	K03781_R00009_brettanomyces_anomalus
augustus_masked-LCTY01000014.1-processed-gene-1.80-mRNA-1_1&gene=augustus_masked-LCTY01000014.1-processed-gene-1.80&CDS=1-1143	K00121_R06983_brettanomyces_anomalus
augustus_masked-LCTY01000003.1-processed-gene-10.36-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-10.36&CDS=1-870	K01070_R00527_brettanomyces_anomalus
augustus_masked-LCTY01000003.1-processed-gene-2.88-mRNA-1_1&gene=augustus_masked-LCTY01000003.1-processed-gene-2.88&CDS=1-1095	K00122_R00519_brettanomyces_anomalus
augustus_masked-LCTY01000005.1-processed-gene-10.126-mRNA-1_1&gene=augustus_masked-LCTY01000005.1-processed-gene-10.126&CDS=1-1845	YALI0F01606g_R11461_brettanomyces_anomalus
-processed-gene-9.121-mRNA-1_1&gene=augustus_masked-gi|1002316176|dbj|BCGC01000002.1|-processed-gene-9.121&CDS=1-1971	lad_MNXR117337_candida_sorboxylosa
-processed-gene-6.53-mRNA-1_1&gene=augustus_masked-gi|1002316175|dbj|BCGC01000003.1|-processed-gene-6.53&CDS=1-1500	K03781_R00009_candida_sorboxylosa
-processed-gene-8.65-mRNA-1_1&gene=augustus_masked-gi|1002316175|dbj|BCGC01000003.1|-processed-gene-8.65&CDS=1-2502	K00121_R06983_candida_sorboxylosa
-processed-gene-5.29-mRNA-1_1&gene=augustus_masked-gi|1002316172|dbj|BCGC01000006.1|-processed-gene-5.29&CDS=1-879	K01070_R00527_candida_sorboxylosa
-augustus-gene-7.4-mRNA-1_1&gene=maker-gi|1002316173|dbj|BCGC01000005.1|-augustus-gene-7.4&CDS=1-1605	YALI0F01650p_MNXR121148_candida_sorboxylosa
-processed-gene-5.9-mRNA-1_1&gene=augustus_masked-gi|1002316172|dbj|BCGC01000006.1|-processed-gene-5.9&CDS=1-1746	YALI0F01606g_R11461_candida_sorboxylosa
genemark-scf7180000046235-processed-gene-0.40-mRNA-1_1&gene=genemark-scf7180000046235-processed-gene-0.40&CDS=1-1548	K00849_R01092_yHAB159_kazachstania_solicola
genemark-scf7180000046287-processed-gene-0.119-mRNA-1_1&gene=genemark-scf7180000046287-processed-gene-0.119&CDS=1-1095	K00965_R00955_yHAB159_kazachstania_solicola
genemark-scf7180000046287-processed-gene-0.120-mRNA-1_1&gene=genemark-scf7180000046287-processed-gene-0.120&CDS=1-1437	K01784_R00291_yHAB159_kazachstania_solicola
genemark-scf7180000046325-processed-gene-1.88-mRNA-1_1&gene=genemark-scf7180000046325-processed-gene-1.88&CDS=1-1539	K03781_R00009_yHAB159_kazachstania_solicola
augustus_masked-scf7180000046220-processed-gene-1.234-mRNA-1_1&gene=augustus_masked-scf7180000046220-processed-gene-1.234&CDS=1-1440	K00121_R06983_yHAB159_kazachstania_solicola
genemark-scf7180000046319-processed-gene-0.131-mRNA-1_1&gene=genemark-scf7180000046319-processed-gene-0.131&CDS=1-825	K01070_R00527_yHAB159_kazachstania_solicola
maker-scf7180000046191-snap-gene-0.98-mRNA-1_1&gene=maker-scf7180000046191-snap-gene-0.98&CDS=1-3417	YALI0F01606g_R11461_yHAB159_kazachstania_solicola
genemark-flattened_line_38-processed-gene-0.9-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-0.9&CDS=1-1056	lad_MNXR117337_yHMPu5000034606_priceomyces_medius
genemark-flattened_line_10-processed-gene-6.210-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-6.210&CDS=1-1548	K00849_R01092_yHMPu5000034606_priceomyces_medius
genemark-flattened_line_10-processed-gene-6.178-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-6.178&CDS=1-1137	K00965_R00955_yHMPu5000034606_priceomyces_medius
genemark-flattened_line_10-processed-gene-6.177-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-6.177&CDS=1-2046	K01784_R00291_yHMPu5000034606_priceomyces_medius
genemark-flattened_line_30-processed-gene-0.126-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-0.126&CDS=1-1452	K03781_R00009_yHMPu5000034606_priceomyces_medius
genemark-flattened_line_36-processed-gene-0.21-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-0.21&CDS=1-1140	K00121_R06983_yHMPu5000034606_priceomyces_medius
maker-flattened_line_28-augustus-gene-1.9-mRNA-1_1&gene=maker-flattened_line_28-augustus-gene-1.9&CDS=1-1899	K01070_R00527_yHMPu5000034606_priceomyces_medius
genemark-flattened_line_4-processed-gene-1.114-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-1.114&CDS=1-1125	K00122_R00519_yHMPu5000034606_priceomyces_medius
maker-flattened_line_12-snap-gene-0.0-mRNA-1_1&gene=maker-flattened_line_12-snap-gene-0.0&CDS=1-3636	YALI0F01650p_MNXR121148_yHMPu5000034606_priceomyces_medius
genemark-flattened_line_14-processed-gene-4.213-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-4.213&CDS=1-1791	YALI0F01606g_R11461_yHMPu5000034606_priceomyces_medius
genemark-flattened_line_14-processed-gene-4.183-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-4.183&CDS=1-468	K21911_R11333_yHMPu5000034606_priceomyces_medius
maker-NC_027865.1-augustus-gene-0.0-mRNA-1_1&gene=maker-NC_027865.1-augustus-gene-0.0&CDS=1-1971	lad_MNXR117337_ogataea_parapolymorpha
augustus_masked-NC_027862.1-processed-gene-2.19-mRNA-1_1&gene=augustus_masked-NC_027862.1-processed-gene-2.19&CDS=1-1992	K17066_R00608_ogataea_parapolymorpha
augustus_masked-NC_027865.1-processed-gene-1.69-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-1.69&CDS=1-1521	K03781_R00009_ogataea_parapolymorpha
augustus_masked-NC_027865.1-processed-gene-1.54-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-1.54&CDS=1-2130	dha1_R01440_ogataea_parapolymorpha
augustus_masked-NC_027860.1-processed-gene-2.51-mRNA-1_1&gene=augustus_masked-NC_027860.1-processed-gene-2.51&CDS=1-1140	K00121_R06983_ogataea_parapolymorpha
maker-NC_027863.1-augustus-gene-5.1-mRNA-1_1&gene=maker-NC_027863.1-augustus-gene-5.1&CDS=1-2445	K01070_R00527_ogataea_parapolymorpha
maker-NC_027860.1-augustus-gene-13.176-mRNA-1_1&gene=maker-NC_027860.1-augustus-gene-13.176&CDS=1-2400	K00122_R00519_ogataea_parapolymorpha
augustus_masked-NC_027861.1-processed-gene-14.38-mRNA-1_1&gene=augustus_masked-NC_027861.1-processed-gene-14.38&CDS=1-1248	K12661_R03774_ogataea_parapolymorpha
maker-NC_027866.1-snap-gene-2.174-mRNA-1_1&gene=maker-NC_027866.1-snap-gene-2.174&CDS=1-1581	YALI0F01650p_MNXR121148_ogataea_parapolymorpha
augustus_masked-NC_027863.1-processed-gene-2.115-mRNA-1_1&gene=augustus_masked-NC_027863.1-processed-gene-2.115&CDS=1-1827	YALI0F01606g_R11461_ogataea_parapolymorpha
augustus_masked-NC_027865.1-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-NC_027865.1-processed-gene-0.119&CDS=1-489	K21911_R11333_ogataea_parapolymorpha
augustus_masked-NC_027866.1-processed-gene-8.299-mRNA-1_1&gene=augustus_masked-NC_027866.1-processed-gene-8.299&CDS=1-8538	K17877_R00787_ogataea_parapolymorpha
maker-NODE_36_length_143234_cov_69.1716_ID_71-augustus-gene-0.179-mRNA-1_1&gene=maker-NODE_36_length_143234_cov_69.1716_ID_71-augustus-gene-0.179&CDS=1-1656	lad_MNXR117337_yHMPu5000034946_ambrosiozyma_oregonensis
snap_masked-NODE_59_length_61083_cov_90.0868_ID_117-processed-gene-0.43-mRNA-1_1&gene=snap_masked-NODE_59_length_61083_cov_90.0868_ID_117-processed-gene-0.43&CDS=1-1518	K03781_R00009_yHMPu5000034946_ambrosiozyma_oregonensis
snap_masked-NODE_1_length_719706_cov_69.2366_ID_1-processed-gene-5.78-mRNA-1_1&gene=snap_masked-NODE_1_length_719706_cov_69.2366_ID_1-processed-gene-5.78&CDS=1-1140	K00121_R06983_yHMPu5000034946_ambrosiozyma_oregonensis
snap_masked-NODE_17_length_334567_cov_67.8042_ID_33-processed-gene-0.11-mRNA-1_1&gene=snap_masked-NODE_17_length_334567_cov_67.8042_ID_33-processed-gene-0.11&CDS=1-879	K01070_R00527_yHMPu5000034946_ambrosiozyma_oregonensis
snap_masked-NODE_28_length_190912_cov_99.888_ID_55-processed-gene-0.138-mRNA-1_1&gene=snap_masked-NODE_28_length_190912_cov_99.888_ID_55-processed-gene-0.138&CDS=1-1095	K00122_R00519_yHMPu5000034946_ambrosiozyma_oregonensis
snap_masked-NODE_18_length_291584_cov_90.0546_ID_35-processed-gene-1.75-mRNA-1_1&gene=snap_masked-NODE_18_length_291584_cov_90.0546_ID_35-processed-gene-1.75&CDS=1-999	K18338_R03772_yHMPu5000034946_ambrosiozyma_oregonensis
snap_masked-NODE_18_length_291584_cov_90.0546_ID_35-processed-gene-1.66-mRNA-1_1&gene=snap_masked-NODE_18_length_291584_cov_90.0546_ID_35-processed-gene-1.66&CDS=1-1269	K12661_R03774_yHMPu5000034946_ambrosiozyma_oregonensis
snap_masked-NODE_14_length_343809_cov_90.6169_ID_27-processed-gene-1.75-mRNA-1_1&gene=snap_masked-NODE_14_length_343809_cov_90.6169_ID_27-processed-gene-1.75&CDS=1-867	YALI0F01650p_MNXR121148_yHMPu5000034946_ambrosiozyma_oregonensis
snap_masked-NODE_14_length_343809_cov_90.6169_ID_27-processed-gene-1.74-mRNA-1_1&gene=snap_masked-NODE_14_length_343809_cov_90.6169_ID_27-processed-gene-1.74&CDS=1-1818	YALI0F01606g_R11461_yHMPu5000034946_ambrosiozyma_oregonensis
snap_masked-NODE_14_length_343809_cov_90.6169_ID_27-processed-gene-1.56-mRNA-1_1&gene=snap_masked-NODE_14_length_343809_cov_90.6169_ID_27-processed-gene-1.56&CDS=1-492	K21911_R11333_yHMPu5000034946_ambrosiozyma_oregonensis
augustus_masked-NODE_3_length_574203_cov_71.0128_ID_5-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-NODE_3_length_574203_cov_71.0128_ID_5-processed-gene-0.40&CDS=1-1578	K02575_MNXR101912_yHMPu5000034946_ambrosiozyma_oregonensis
augustus_masked-NODE_3_length_574203_cov_71.0128_ID_5-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-NODE_3_length_574203_cov_71.0128_ID_5-processed-gene-0.24&CDS=1-2625	K10534_R00794_yHMPu5000034946_ambrosiozyma_oregonensis
snap_masked-NODE_3_length_574203_cov_71.0128_ID_5-processed-gene-0.100-mRNA-1_1&gene=snap_masked-NODE_3_length_574203_cov_71.0128_ID_5-processed-gene-0.100&CDS=1-3207	K17877_R00787_yHMPu5000034946_ambrosiozyma_oregonensis
snap_masked-LGST01000016.1-processed-gene-4.59-mRNA-1_1&gene=snap_masked-LGST01000016.1-processed-gene-4.59&CDS=1-1107	lad_MNXR117337_candida_auris
snap_masked-LGST01000041.1-processed-gene-2.28-mRNA-1_1&gene=snap_masked-LGST01000041.1-processed-gene-2.28&CDS=1-1458	K03781_R00009_candida_auris
genemark-LGST01000052.1-processed-gene-0.69-mRNA-1_1&gene=genemark-LGST01000052.1-processed-gene-0.69&CDS=1-2151	K00121_R06983_candida_auris
augustus_masked-LGST01000021.1-processed-gene-2.213-mRNA-1_1&gene=augustus_masked-LGST01000021.1-processed-gene-2.213&CDS=1-2853	K01070_R00527_candida_auris
snap_masked-LGST01000026.1-processed-gene-0.99-mRNA-1_1&gene=snap_masked-LGST01000026.1-processed-gene-0.99&CDS=1-1125	K00122_R00519_candida_auris
snap_masked-LGST01000025.1-processed-gene-1.198-mRNA-1_1&gene=snap_masked-LGST01000025.1-processed-gene-1.198&CDS=1-1518	inu_MNXR115392_candida_auris
snap_masked-LGST01000040.1-processed-gene-2.80-mRNA-1_1&gene=snap_masked-LGST01000040.1-processed-gene-2.80&CDS=1-831	YALI0F01650p_MNXR121148_candida_auris
snap_masked-LGST01000042.1-processed-gene-0.38-mRNA-1_1&gene=snap_masked-LGST01000042.1-processed-gene-0.38&CDS=1-1761	YALI0F01606g_R11461_candida_auris
genemark-ZYBA0S03-processed-gene-7.154-mRNA-1_1&gene=genemark-ZYBA0S03-processed-gene-7.154&CDS=1-1527	K00849_R01092_zygosaccharomyces_bailii
genemark-ZYBA0S03-processed-gene-7.126-mRNA-1_1&gene=genemark-ZYBA0S03-processed-gene-7.126&CDS=1-2982	K01784_R00291_zygosaccharomyces_bailii
maker-ZYBA0S15-augustus-gene-0.69-mRNA-1_1&gene=maker-ZYBA0S15-augustus-gene-0.69&CDS=1-5079	lad_MNXR117337_zygosaccharomyces_bailii
genemark-ZYBA0S10-processed-gene-2.62-mRNA-1_1&gene=genemark-ZYBA0S10-processed-gene-2.62&CDS=1-1146	K00121_R06983_zygosaccharomyces_bailii
genemark-ZYBA0S03-processed-gene-5.35-mRNA-1_1&gene=genemark-ZYBA0S03-processed-gene-5.35&CDS=1-891	K01070_R00527_zygosaccharomyces_bailii
genemark-ZYBA0S06-processed-gene-2.75-mRNA-1_1&gene=genemark-ZYBA0S06-processed-gene-2.75&CDS=1-1251	K00122_R00519_zygosaccharomyces_bailii
genemark-ZYBA0S02-processed-gene-0.42-mRNA-1_1&gene=genemark-ZYBA0S02-processed-gene-0.42&CDS=1-1701	inu_MNXR115392_zygosaccharomyces_bailii
genemark-ZYBA0S01-processed-gene-0.31-mRNA-1_1&gene=genemark-ZYBA0S01-processed-gene-0.31&CDS=1-846	YALI0F01650p_MNXR121148_zygosaccharomyces_bailii
augustus_masked-ZYBA0S11-processed-gene-2.61-mRNA-1_1&gene=augustus_masked-ZYBA0S11-processed-gene-2.61&CDS=1-4749	YALI0F01606g_R11461_zygosaccharomyces_bailii
snap_masked-scaffold_6-processed-gene-2.117-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-2.117&CDS=1-1071	lad_MNXR117337_nadsonia_fulvescens_var_elongata
snap_masked-scaffold_1-processed-gene-23.234-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-23.234&CDS=1-1545	K00849_R01092_nadsonia_fulvescens_var_elongata
snap_masked-scaffold_1-processed-gene-23.235-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-23.235&CDS=1-1089	K00965_R00955_nadsonia_fulvescens_var_elongata
maker-scaffold_1-augustus-gene-23.112-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-23.112&CDS=1-1551	K01784_R00291_nadsonia_fulvescens_var_elongata
snap_masked-scaffold_3-processed-gene-14.127-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-14.127&CDS=1-1485	K03781_R00009_nadsonia_fulvescens_var_elongata
snap_masked-scaffold_2-processed-gene-2.33-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-2.33&CDS=1-1140	K00121_R06983_nadsonia_fulvescens_var_elongata
snap_masked-scaffold_1-processed-gene-15.97-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-15.97&CDS=1-894	YALI0F01650p_MNXR121148_nadsonia_fulvescens_var_elongata
snap_masked-scaffold_6-processed-gene-1.119-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-1.119&CDS=1-1779	YALI0F01606g_R11461_nadsonia_fulvescens_var_elongata
augustus_masked-scf7180000031510-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-scf7180000031510-processed-gene-0.22&CDS=1-1095	lad_MNXR117337_yHMPu5000034950_citeromyces_hawaiiensis
augustus_masked-scf7180000031568-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-scf7180000031568-processed-gene-0.26&CDS=1-1506	K03781_R00009_yHMPu5000034950_citeromyces_hawaiiensis
snap_masked-scf7180000030222-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000030222-processed-gene-0.0&CDS=1-318	K03781_R00009_yHMPu5000034950_citeromyces_hawaiiensis
maker-scf7180000030648-augustus-gene-0.7-mRNA-1_1&gene=maker-scf7180000030648-augustus-gene-0.7&CDS=1-1140	K00121_R06983_yHMPu5000034950_citeromyces_hawaiiensis
augustus_masked-scf7180000031525-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-scf7180000031525-processed-gene-0.3&CDS=1-885	K01070_R00527_yHMPu5000034950_citeromyces_hawaiiensis
snap_masked-scf7180000030708-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000030708-processed-gene-0.0&CDS=1-531	K01070_R00527_yHMPu5000034950_citeromyces_hawaiiensis
augustus_masked-scf7180000031247-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-scf7180000031247-processed-gene-0.15&CDS=1-1647	inu_MNXR115392_yHMPu5000034950_citeromyces_hawaiiensis
augustus_masked-scf7180000031510-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-scf7180000031510-processed-gene-0.9&CDS=1-831	YALI0F01650p_MNXR121148_yHMPu5000034950_citeromyces_hawaiiensis
augustus_masked-scf7180000030600-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000030600-processed-gene-0.4&CDS=1-1785	YALI0F01606g_R11461_yHMPu5000034950_citeromyces_hawaiiensis
augustus_masked-scf7180000031577-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-scf7180000031577-processed-gene-0.8&CDS=1-1515	K02575_MNXR101912_yHMPu5000034950_citeromyces_hawaiiensis
genemark-scf7180000031577-processed-gene-0.30-mRNA-1_1&gene=genemark-scf7180000031577-processed-gene-0.30&CDS=1-2532	K10534_R00794_yHMPu5000034950_citeromyces_hawaiiensis
augustus_masked-scf7180000031577-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-scf7180000031577-processed-gene-0.9&CDS=1-3261	K17877_R00787_yHMPu5000034950_citeromyces_hawaiiensis
augustus_masked-mau_s134-processed-gene-1.60-mRNA-1_1&gene=augustus_masked-mau_s134-processed-gene-1.60&CDS=1-1533	K00849_R01092_metschnikowia_mauinuiana
